source_row_number,hora,dia_semana,mes,trimestre,dia_mes,semana_ano,is_horario_comercial,is_fim_de_semana,is_segunda_terca,periodo_dia,lag_1d,lag_7d,rolling_7d,rolling_30d,lag_1d_p2,lag_1d_p3,prioridade_bin,produto_enc,categoria_enc,subcategoria_enc,grupo_enc,aberto_por_enc,produto_freq,grupo_freq,mes_sin,mes_cos,is_feriado,tipo_feriado,dias_ate_feriado,dias_desde_feriado,target_ola
20,0,1,12,4,30,1,0,0,1,0,26.0,53.0,22.71,47.1,19.0,7.0,1,22,92,351,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,5,0
21,23,0,12,4,29,1,0,0,1,3,12.0,50.0,28.86,47.83,7.0,5.0,1,35,38,325,12,1,0.127364,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
22,21,0,12,4,29,1,0,0,1,3,12.0,50.0,28.86,47.83,7.0,5.0,1,35,98,230,12,1,0.127364,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
23,21,0,12,4,29,1,0,0,1,3,12.0,50.0,28.86,47.83,7.0,5.0,1,35,98,230,8,1,0.127364,0.080428,-2.4492935982947064e-16,1.0,0,0,7,4,0
24,19,0,12,4,29,1,0,0,1,3,12.0,50.0,28.86,47.83,7.0,5.0,1,22,92,351,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
25,17,0,12,4,29,1,1,0,1,2,12.0,50.0,28.86,47.83,7.0,5.0,1,41,95,298,12,0,0.016492,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
26,17,0,12,4,29,1,1,0,1,2,12.0,50.0,28.86,47.83,7.0,5.0,1,35,98,230,8,1,0.127364,0.080428,-2.4492935982947064e-16,1.0,0,0,7,4,0
27,17,0,12,4,29,1,1,0,1,2,12.0,50.0,28.86,47.83,7.0,5.0,0,22,104,373,10,0,0.319056,0.339886,-2.4492935982947064e-16,1.0,0,0,7,4,0
28,16,0,12,4,29,1,1,0,1,2,12.0,50.0,28.86,47.83,7.0,5.0,1,14,88,128,2,0,0.005393,0.016219,-2.4492935982947064e-16,1.0,0,0,7,4,0
29,15,0,12,4,29,1,1,0,1,2,12.0,50.0,28.86,47.83,7.0,5.0,0,22,92,185,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
30,13,0,12,4,29,1,1,0,1,2,12.0,50.0,28.86,47.83,7.0,5.0,1,22,92,351,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
31,13,0,12,4,29,1,1,0,1,2,12.0,50.0,28.86,47.83,7.0,5.0,1,22,92,351,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
32,10,0,12,4,29,1,1,0,1,1,12.0,50.0,28.86,47.83,7.0,5.0,1,22,92,351,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
33,10,0,12,4,29,1,1,0,1,1,12.0,50.0,28.86,47.83,7.0,5.0,0,29,13,123,10,0,0.018993,0.339886,-2.4492935982947064e-16,1.0,0,0,7,4,0
34,10,0,12,4,29,1,1,0,1,1,12.0,50.0,28.86,47.83,7.0,5.0,0,22,11,199,10,0,0.319056,0.339886,-2.4492935982947064e-16,1.0,0,0,7,4,0
35,9,0,12,4,29,1,1,0,1,1,12.0,50.0,28.86,47.83,7.0,5.0,1,22,92,351,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
36,9,0,12,4,29,1,1,0,1,1,12.0,50.0,28.86,47.83,7.0,5.0,1,22,92,351,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
37,9,0,12,4,29,1,1,0,1,1,12.0,50.0,28.86,47.83,7.0,5.0,1,23,94,351,12,1,0.073902,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
38,9,0,12,4,29,1,1,0,1,1,12.0,50.0,28.86,47.83,7.0,5.0,1,22,92,351,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
39,8,0,12,4,29,1,0,0,1,1,12.0,50.0,28.86,47.83,7.0,5.0,1,22,92,351,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
40,8,0,12,4,29,1,0,0,1,1,12.0,50.0,28.86,47.83,7.0,5.0,0,30,22,110,10,0,0.019853,0.339886,-2.4492935982947064e-16,1.0,0,0,7,4,0
41,8,0,12,4,29,1,0,0,1,1,12.0,50.0,28.86,47.83,7.0,5.0,1,22,92,351,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
42,8,0,12,4,29,1,0,0,1,1,12.0,50.0,28.86,47.83,7.0,5.0,0,41,95,188,12,0,0.016492,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
43,3,0,12,4,29,1,0,0,1,0,12.0,50.0,28.86,47.83,7.0,5.0,1,31,60,367,12,1,0.071635,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
44,2,0,12,4,29,1,0,0,1,0,12.0,50.0,28.86,47.83,7.0,5.0,1,22,92,351,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
45,2,0,12,4,29,1,0,0,1,0,12.0,50.0,28.86,47.83,7.0,5.0,0,22,104,126,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
46,2,0,12,4,29,1,0,0,1,0,12.0,50.0,28.86,47.83,7.0,5.0,1,23,94,351,12,1,0.073902,0.350633,-2.4492935982947064e-16,1.0,0,0,7,4,0
47,22,6,12,4,28,52,0,1,0,3,18.0,33.0,32.29,48.07,10.0,8.0,1,22,41,258,1,1,0.319056,0.009809,-2.4492935982947064e-16,1.0,0,0,7,3,0
48,22,6,12,4,28,52,0,1,0,3,18.0,33.0,32.29,48.07,10.0,8.0,1,22,92,351,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,3,0
49,21,6,12,4,28,52,0,1,0,3,18.0,33.0,32.29,48.07,10.0,8.0,1,14,85,172,2,1,0.005393,0.016219,-2.4492935982947064e-16,1.0,0,0,7,3,0
50,15,6,12,4,28,52,1,1,0,2,18.0,33.0,32.29,48.07,10.0,8.0,0,22,92,185,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,3,0
51,15,6,12,4,28,52,1,1,0,2,18.0,33.0,32.29,48.07,10.0,8.0,0,22,34,185,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,3,0
52,14,6,12,4,28,52,1,1,0,2,18.0,33.0,32.29,48.07,10.0,8.0,1,22,92,351,8,0,0.319056,0.080428,-2.4492935982947064e-16,1.0,0,0,7,3,0
53,14,6,12,4,28,52,1,1,0,2,18.0,33.0,32.29,48.07,10.0,8.0,0,22,41,246,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,3,0
54,14,6,12,4,28,52,1,1,0,2,18.0,33.0,32.29,48.07,10.0,8.0,1,22,92,351,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,3,0
55,10,6,12,4,28,52,1,1,0,1,18.0,33.0,32.29,48.07,10.0,8.0,0,41,95,188,12,0,0.016492,0.350633,-2.4492935982947064e-16,1.0,0,0,7,3,0
56,8,6,12,4,28,52,0,1,0,1,18.0,33.0,32.29,48.07,10.0,8.0,0,22,92,307,8,1,0.319056,0.080428,-2.4492935982947064e-16,1.0,0,0,7,3,0
57,3,6,12,4,28,52,0,1,0,0,18.0,33.0,32.29,48.07,10.0,8.0,1,31,59,283,8,1,0.071635,0.080428,-2.4492935982947064e-16,1.0,0,0,7,3,0
58,1,6,12,4,28,52,0,1,0,0,18.0,33.0,32.29,48.07,10.0,8.0,1,23,94,351,12,1,0.073902,0.350633,-2.4492935982947064e-16,1.0,0,0,7,3,0
59,22,5,12,4,27,52,0,1,0,3,31.0,38.0,35.29,50.33,9.0,22.0,0,22,104,37,10,0,0.319056,0.339886,-2.4492935982947064e-16,1.0,0,0,7,2,1
60,21,5,12,4,27,52,0,1,0,3,31.0,38.0,35.29,50.33,9.0,22.0,0,29,13,277,10,0,0.018993,0.339886,-2.4492935982947064e-16,1.0,0,0,7,2,1
61,21,5,12,4,27,52,0,1,0,3,31.0,38.0,35.29,50.33,9.0,22.0,1,31,59,229,12,1,0.071635,0.350633,-2.4492935982947064e-16,1.0,0,0,7,2,0
62,20,5,12,4,27,52,0,1,0,3,31.0,38.0,35.29,50.33,9.0,22.0,1,31,117,379,12,1,0.071635,0.350633,-2.4492935982947064e-16,1.0,0,0,7,2,0
63,14,5,12,4,27,52,1,1,0,2,31.0,38.0,35.29,50.33,9.0,22.0,0,22,92,351,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,2,0
64,13,5,12,4,27,52,1,1,0,2,31.0,38.0,35.29,50.33,9.0,22.0,0,23,42,234,12,0,0.073902,0.350633,-2.4492935982947064e-16,1.0,0,0,7,2,0
65,13,5,12,4,27,52,1,1,0,2,31.0,38.0,35.29,50.33,9.0,22.0,0,23,106,314,12,0,0.073902,0.350633,-2.4492935982947064e-16,1.0,0,0,7,2,0
66,13,5,12,4,27,52,1,1,0,2,31.0,38.0,35.29,50.33,9.0,22.0,1,22,92,351,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,2,0
67,11,5,12,4,27,52,1,1,0,1,31.0,38.0,35.29,50.33,9.0,22.0,0,41,95,188,12,0,0.016492,0.350633,-2.4492935982947064e-16,1.0,0,0,7,2,0
68,11,5,12,4,27,52,1,1,0,1,31.0,38.0,35.29,50.33,9.0,22.0,1,22,92,351,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,2,0
69,11,5,12,4,27,52,1,1,0,1,31.0,38.0,35.29,50.33,9.0,22.0,0,30,5,94,10,0,0.019853,0.339886,-2.4492935982947064e-16,1.0,0,0,7,2,0
70,9,5,12,4,27,52,1,1,0,1,31.0,38.0,35.29,50.33,9.0,22.0,1,23,94,351,12,1,0.073902,0.350633,-2.4492935982947064e-16,1.0,0,0,7,2,0
71,9,5,12,4,27,52,1,1,0,1,31.0,38.0,35.29,50.33,9.0,22.0,1,35,98,230,12,1,0.127364,0.350633,-2.4492935982947064e-16,1.0,0,0,7,2,0
72,7,5,12,4,27,52,0,1,0,1,31.0,38.0,35.29,50.33,9.0,22.0,0,41,104,32,12,0,0.016492,0.350633,-2.4492935982947064e-16,1.0,0,0,7,2,0
73,5,5,12,4,27,52,0,1,0,0,31.0,38.0,35.29,50.33,9.0,22.0,1,31,117,361,8,1,0.071635,0.080428,-2.4492935982947064e-16,1.0,0,0,7,2,0
74,3,5,12,4,27,52,0,1,0,0,31.0,38.0,35.29,50.33,9.0,22.0,1,31,59,283,8,1,0.071635,0.080428,-2.4492935982947064e-16,1.0,0,0,7,2,0
75,3,5,12,4,27,52,0,1,0,0,31.0,38.0,35.29,50.33,9.0,22.0,1,22,34,351,2,1,0.319056,0.016219,-2.4492935982947064e-16,1.0,0,0,7,2,0
76,1,5,12,4,27,52,0,1,0,0,31.0,38.0,35.29,50.33,9.0,22.0,1,22,92,351,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,2,0
77,19,4,12,4,26,52,0,0,0,3,22.0,70.0,38.14,52.37,6.0,16.0,1,35,38,325,2,1,0.127364,0.016219,-2.4492935982947064e-16,1.0,0,0,7,1,0
78,18,4,12,4,26,52,0,0,0,3,22.0,70.0,38.14,52.37,6.0,16.0,1,31,117,316,12,0,0.071635,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
79,18,4,12,4,26,52,0,0,0,3,22.0,70.0,38.14,52.37,6.0,16.0,0,22,92,307,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
80,18,4,12,4,26,52,0,0,0,3,22.0,70.0,38.14,52.37,6.0,16.0,0,11,111,23,10,0,0.143935,0.339886,-2.4492935982947064e-16,1.0,0,0,7,1,0
81,17,4,12,4,26,52,1,0,0,2,22.0,70.0,38.14,52.37,6.0,16.0,0,22,92,246,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
82,17,4,12,4,26,52,1,0,0,2,22.0,70.0,38.14,52.37,6.0,16.0,0,35,98,230,12,1,0.127364,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
83,15,4,12,4,26,52,1,0,0,2,22.0,70.0,38.14,52.37,6.0,16.0,1,23,94,351,12,1,0.073902,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
84,14,4,12,4,26,52,1,0,0,2,22.0,70.0,38.14,52.37,6.0,16.0,0,11,97,317,4,0,0.143935,0.141707,-2.4492935982947064e-16,1.0,0,0,7,1,0
85,14,4,12,4,26,52,1,0,0,2,22.0,70.0,38.14,52.37,6.0,16.0,0,23,94,31,12,1,0.073902,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
86,13,4,12,4,26,52,1,0,0,2,22.0,70.0,38.14,52.37,6.0,16.0,1,22,92,351,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
87,12,4,12,4,26,52,1,0,0,2,22.0,70.0,38.14,52.37,6.0,16.0,0,22,55,269,10,0,0.319056,0.339886,-2.4492935982947064e-16,1.0,0,0,7,1,0
88,11,4,12,4,26,52,1,0,0,1,22.0,70.0,38.14,52.37,6.0,16.0,0,22,55,269,10,0,0.319056,0.339886,-2.4492935982947064e-16,1.0,0,0,7,1,0
89,10,4,12,4,26,52,1,0,0,1,22.0,70.0,38.14,52.37,6.0,16.0,0,32,24,266,10,0,0.022354,0.339886,-2.4492935982947064e-16,1.0,0,0,7,1,0
90,10,4,12,4,26,52,1,0,0,1,22.0,70.0,38.14,52.37,6.0,16.0,0,22,92,307,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
91,10,4,12,4,26,52,1,0,0,1,22.0,70.0,38.14,52.37,6.0,16.0,0,16,104,32,12,0,0.010982,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
92,10,4,12,4,26,52,1,0,0,1,22.0,70.0,38.14,52.37,6.0,16.0,1,35,98,230,12,1,0.127364,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
93,9,4,12,4,26,52,1,0,0,1,22.0,70.0,38.14,52.37,6.0,16.0,0,22,104,122,10,1,0.319056,0.339886,-2.4492935982947064e-16,1.0,0,0,7,1,0
94,9,4,12,4,26,52,1,0,0,1,22.0,70.0,38.14,52.37,6.0,16.0,1,31,117,249,12,0,0.071635,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
95,9,4,12,4,26,52,1,0,0,1,22.0,70.0,38.14,52.37,6.0,16.0,0,35,52,81,10,0,0.127364,0.339886,-2.4492935982947064e-16,1.0,0,0,7,1,0
96,9,4,12,4,26,52,1,0,0,1,22.0,70.0,38.14,52.37,6.0,16.0,0,29,55,269,10,0,0.018993,0.339886,-2.4492935982947064e-16,1.0,0,0,7,1,0
97,9,4,12,4,26,52,1,0,0,1,22.0,70.0,38.14,52.37,6.0,16.0,0,31,114,246,12,1,0.071635,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
98,8,4,12,4,26,52,0,0,0,1,22.0,70.0,38.14,52.37,6.0,16.0,0,22,92,307,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
99,8,4,12,4,26,52,0,0,0,1,22.0,70.0,38.14,52.37,6.0,16.0,0,29,55,269,10,0,0.018993,0.339886,-2.4492935982947064e-16,1.0,0,0,7,1,0
100,5,4,12,4,26,52,0,0,0,0,22.0,70.0,38.14,52.37,6.0,16.0,1,22,92,351,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
101,3,4,12,4,26,52,0,0,0,0,22.0,70.0,38.14,52.37,6.0,16.0,1,22,41,258,1,1,0.319056,0.009809,-2.4492935982947064e-16,1.0,0,0,7,1,0
102,0,4,12,4,26,52,0,0,0,0,22.0,70.0,38.14,52.37,6.0,16.0,0,22,104,122,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
103,0,4,12,4,26,52,0,0,0,0,22.0,70.0,38.14,52.37,6.0,16.0,0,22,104,122,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
104,0,4,12,4,26,52,0,0,0,0,22.0,70.0,38.14,52.37,6.0,16.0,0,22,104,122,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
105,0,4,12,4,26,52,0,0,0,0,22.0,70.0,38.14,52.37,6.0,16.0,0,22,104,122,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,1,0
106,0,4,12,4,26,52,0,0,0,0,22.0,70.0,38.14,52.37,6.0,16.0,0,22,104,126,10,0,0.319056,0.339886,-2.4492935982947064e-16,1.0,0,0,7,1,0
107,0,4,12,4,26,52,0,0,0,0,22.0,70.0,38.14,52.37,6.0,16.0,1,16,34,326,2,0,0.010982,0.016219,-2.4492935982947064e-16,1.0,0,0,7,1,0
108,23,3,12,4,25,52,0,0,0,3,40.0,65.0,43.71,53.93,8.0,32.0,1,22,92,351,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
109,23,3,12,4,25,52,0,0,0,3,40.0,65.0,43.71,53.93,8.0,32.0,1,22,92,351,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
110,22,3,12,4,25,52,0,0,0,3,40.0,65.0,43.71,53.93,8.0,32.0,0,22,92,307,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
111,22,3,12,4,25,52,0,0,0,3,40.0,65.0,43.71,53.93,8.0,32.0,1,23,94,351,12,1,0.073902,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
112,21,3,12,4,25,52,0,0,0,3,40.0,65.0,43.71,53.93,8.0,32.0,0,31,119,246,12,1,0.071635,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
113,20,3,12,4,25,52,0,0,0,3,40.0,65.0,43.71,53.93,8.0,32.0,0,22,92,307,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
114,19,3,12,4,25,52,0,0,0,3,40.0,65.0,43.71,53.93,8.0,32.0,0,22,92,307,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
115,19,3,12,4,25,52,0,0,0,3,40.0,65.0,43.71,53.93,8.0,32.0,0,22,92,307,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
116,18,3,12,4,25,52,0,0,0,3,40.0,65.0,43.71,53.93,8.0,32.0,1,11,97,275,4,1,0.143935,0.141707,-2.4492935982947064e-16,1.0,1,1,0,0,0
117,17,3,12,4,25,52,1,0,0,2,40.0,65.0,43.71,53.93,8.0,32.0,0,35,98,230,1,1,0.127364,0.009809,-2.4492935982947064e-16,1.0,1,1,0,0,0
118,15,3,12,4,25,52,1,0,0,2,40.0,65.0,43.71,53.93,8.0,32.0,0,22,92,307,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
119,11,3,12,4,25,52,1,0,0,1,40.0,65.0,43.71,53.93,8.0,32.0,0,32,102,266,10,0,0.022354,0.339886,-2.4492935982947064e-16,1.0,1,1,0,0,0
120,10,3,12,4,25,52,1,0,0,1,40.0,65.0,43.71,53.93,8.0,32.0,0,11,97,342,4,0,0.143935,0.141707,-2.4492935982947064e-16,1.0,1,1,0,0,0
121,9,3,12,4,25,52,1,0,0,1,40.0,65.0,43.71,53.93,8.0,32.0,0,31,116,246,12,1,0.071635,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
122,6,3,12,4,25,52,0,0,0,1,40.0,65.0,43.71,53.93,8.0,32.0,0,22,92,307,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
123,5,3,12,4,25,52,0,0,0,0,40.0,65.0,43.71,53.93,8.0,32.0,0,35,39,246,12,1,0.127364,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
124,3,3,12,4,25,52,0,0,0,0,40.0,65.0,43.71,53.93,8.0,32.0,1,31,60,361,12,1,0.071635,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
125,3,3,12,4,25,52,0,0,0,0,40.0,65.0,43.71,53.93,8.0,32.0,0,22,92,307,8,1,0.319056,0.080428,-2.4492935982947064e-16,1.0,1,1,0,0,0
126,1,3,12,4,25,52,0,0,0,0,40.0,65.0,43.71,53.93,8.0,32.0,0,35,38,325,12,1,0.127364,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
127,0,3,12,4,25,52,0,0,0,0,40.0,65.0,43.71,53.93,8.0,32.0,1,11,97,275,4,1,0.143935,0.141707,-2.4492935982947064e-16,1.0,1,1,0,0,0
128,0,3,12,4,25,52,0,0,0,0,40.0,65.0,43.71,53.93,8.0,32.0,0,22,92,307,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,1,1,0,0,0
129,0,3,12,4,25,52,0,0,0,0,40.0,65.0,43.71,53.93,8.0,32.0,0,35,98,230,9,1,0.127364,0.006214,-2.4492935982947064e-16,1.0,1,1,0,0,0
130,21,2,12,4,24,52,0,0,0,3,53.0,56.0,49.86,55.5,13.0,40.0,0,22,104,37,10,0,0.319056,0.339886,-2.4492935982947064e-16,1.0,0,0,1,7,0
131,20,2,12,4,24,52,0,0,0,3,53.0,56.0,49.86,55.5,13.0,40.0,0,22,92,185,8,0,0.319056,0.080428,-2.4492935982947064e-16,1.0,0,0,1,7,0
132,20,2,12,4,24,52,0,0,0,3,53.0,56.0,49.86,55.5,13.0,40.0,0,35,39,246,12,1,0.127364,0.350633,-2.4492935982947064e-16,1.0,0,0,1,7,0
133,18,2,12,4,24,52,0,0,0,3,53.0,56.0,49.86,55.5,13.0,40.0,0,22,92,307,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,1,7,0
134,18,2,12,4,24,52,0,0,0,3,53.0,56.0,49.86,55.5,13.0,40.0,0,11,97,275,4,0,0.143935,0.141707,-2.4492935982947064e-16,1.0,0,0,1,7,0
135,17,2,12,4,24,52,1,0,0,2,53.0,56.0,49.86,55.5,13.0,40.0,0,35,98,230,12,1,0.127364,0.350633,-2.4492935982947064e-16,1.0,0,0,1,7,0
136,16,2,12,4,24,52,1,0,0,2,53.0,56.0,49.86,55.5,13.0,40.0,1,22,92,351,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,1,7,0
137,16,2,12,4,24,52,1,0,0,2,53.0,56.0,49.86,55.5,13.0,40.0,0,22,92,348,12,0,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,1,7,0
138,16,2,12,4,24,52,1,0,0,2,53.0,56.0,49.86,55.5,13.0,40.0,0,11,97,317,4,0,0.143935,0.141707,-2.4492935982947064e-16,1.0,0,0,1,7,0
139,15,2,12,4,24,52,1,0,0,2,53.0,56.0,49.86,55.5,13.0,40.0,0,23,35,246,12,1,0.073902,0.350633,-2.4492935982947064e-16,1.0,0,0,1,7,0
140,15,2,12,4,24,52,1,0,0,2,53.0,56.0,49.86,55.5,13.0,40.0,0,11,97,317,4,0,0.143935,0.141707,-2.4492935982947064e-16,1.0,0,0,1,7,0
141,14,2,12,4,24,52,1,0,0,2,53.0,56.0,49.86,55.5,13.0,40.0,0,31,116,316,10,0,0.071635,0.339886,-2.4492935982947064e-16,1.0,0,0,1,7,0
142,14,2,12,4,24,52,1,0,0,2,53.0,56.0,49.86,55.5,13.0,40.0,0,17,5,269,10,0,0.000782,0.339886,-2.4492935982947064e-16,1.0,0,0,1,7,0
